"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-8F2DCF5D","DISTRIB","ANNUAL","Species distribution","Geographical range","Sierra Leone to Liberia, sw Ghana and sw Cameroon","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-8F2DCF5D","DISTRIB","ANNUAL","Species distribution","Geographical range","Resident, forest: Mt Nimba; SW Cameroon; perhaps Ghana, Ivory Coast.","","","","-1","africanbirdclub.org","http://africanbirdclub.org/resources/checklist.html"
"avibase-8F2DCF5D","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","8.34","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8F2DCF5D","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","3.94","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8F2DCF5D","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","6.5","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8F2DCF5D","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-2.53","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8F2DCF5D","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8F2DCF5D","DISTRIB","RANGE_SIZE","Species distribution","Total range size","75034.97","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8F2DCF5D","DISTRIB","REALM","Species distribution","Realm","Afrotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-8F2DCF5D","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-8F2DCF5D","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8F2DCF5D","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8F2DCF5D","HABITAT","DESCR","Habitat","Habitat description","primary & secondary evergreen forest;lowlands-foothills","","","","","Sibley 1996",""
"avibase-8F2DCF5D","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8F2DCF5D","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-8F2DCF5D","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-8F2DCF5D","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8F2DCF5D","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.405","cm","0.36","0.45","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8F2DCF5D","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.379","cm","0.37","0.39","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8F2DCF5D","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.3894","cm","0.36","0.45","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8F2DCF5D","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.04","cm","0.97","1.11","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8F2DCF5D","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","1.23","cm","","","7","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-8F2DCF5D","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.28","cm","","","6","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-8F2DCF5D","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","1.17","cm","1.11","1.27","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8F2DCF5D","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","0.66","cm","0.65","0.67","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8F2DCF5D","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","0.7","cm","0.67","0.73","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8F2DCF5D","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","0.68","cm","0.65","0.73","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8F2DCF5D","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","1.118","cm","0.97","1.27","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8F2DCF5D","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.335","cm","0.3","0.37","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8F2DCF5D","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.343667","cm","0.311","0.4","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8F2DCF5D","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.3402","cm","0.3","0.4","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8F2DCF5D","BODY","MASS","Body measurements","Body mass","24.2","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-8F2DCF5D","BODY","MASS","Body measurements","Body mass","24.2","g","23.5","24.3","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-8F2DCF5D","BODY","MASS_F","Body measurements","Body mass (females)","23.1","g","23.1","23.1","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
"avibase-8F2DCF5D","BODY","MASS_F","Body measurements","Body mass (females)","23.1","grams","","","7","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-8F2DCF5D","BODY","MASS_M","Body measurements","Body mass (males)","25.5","grams","","","6","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-8F2DCF5D","BODY","MASS_M","Body measurements","Body mass (males)","25.5","g","25.5","25.5","","Myhrvold et al. 2015","https://figshare.com/collections/An_amniote_life-history_database_to_perform_comparative_analyses_with_birds_mammals_and_reptiles/3308127"
