"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-F90C0962","DISTRIB","ANNUAL","Species distribution","Geographical range","E and se Brazil to e Paraguay and ne Argentina (Misiones)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-F90C0962","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-12.31","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F90C0962","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-29.74","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F90C0962","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-22.06","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F90C0962","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-48.75","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F90C0962","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F90C0962","DISTRIB","RANGE_SIZE","Species distribution","Total range size","1557771.44","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F90C0962","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-F90C0962","RANGE","RESTRICTED","Range and population size","Has restricted range?","N","","","","-1","Birdlife's Worldbird Database",""
"avibase-F90C0962","HABITAT","ALT","Habitat","Altitude","","m","","950","-1","Birdlife's Worldbird Database",""
"avibase-F90C0962","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F90C0962","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F90C0962","HABITAT","DESCR","Habitat","Habitat description","forest, open woodland;lowlands-1800","","","","","Sibley 1996",""
"avibase-F90C0962","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F90C0962","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-F90C0962","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-F90C0962","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Omnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F90C0962","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","0.62","cm","0.62","0.62","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F90C0962","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","0.68","cm","0.66","0.7","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F90C0962","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","0.665","cm","0.62","0.7","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F90C0962","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.69","cm","2.69","2.69","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F90C0962","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.73","cm","2.7","2.75","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F90C0962","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","2.07","cm","2.07","2.07","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F90C0962","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","2.1","cm","2.06","2.14","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F90C0962","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","2.0925","cm","2.06","2.14","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-F90C0962","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.72","cm","2.69","2.75","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
