"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-A910C62B","DISTRIB","ANNUAL","Species distribution","Geographical range","Montane forests of s Bolivia and nw Argentina","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-A910C62B","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-17.78","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A910C62B","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-27.29","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A910C62B","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-22.39","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A910C62B","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","-64.62","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A910C62B","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A910C62B","DISTRIB","RANGE_SIZE","Species distribution","Total range size","54416.26","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A910C62B","DISTRIB","REALM","Species distribution","Realm","Neotropic","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-A910C62B","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A910C62B","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A910C62B","HABITAT","DESCR","Habitat","Habitat description","montane & cloud forest","","","","","Sibley 1996",""
"avibase-A910C62B","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Invertivore sally surface","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-A910C62B","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-A910C62B","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Carnivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A910C62B","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A910C62B","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Invertivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-A910C62B","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","1.13","cm","1.1","1.16","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A910C62B","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","1.15333","cm","1.03","1.32","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A910C62B","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","1.145","cm","1.03","1.32","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A910C62B","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","2.13","cm","2.13","2.13","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A910C62B","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","2.28","cm","2.18","2.45","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A910C62B","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","1.165","cm","1.07","1.26","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A910C62B","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","1.19","cm","1.19","1.19","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A910C62B","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","1.184","cm","1.07","1.26","5","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A910C62B","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","2.21833","cm","2.13","2.45","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A910C62B","BODY","BILL_WIDTH_F","Body measurements","Bill width (females)","0.755","cm","0.72","0.79","2","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A910C62B","BODY","BILL_WIDTH_M","Body measurements","Bill width (males)","0.813333","cm","0.66","0.95","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A910C62B","BODY","BILL_WIDTH_U","Body measurements","Bill width (sex unknown)","0.773333","cm","0.66","0.95","6","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-A910C62B","BODY","MASS","Body measurements","Body mass","110","g","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
