"avibase_id","categ","subcateg","categ_descr","subcat_descr","value","units","min_value","max_value","samplesize","refer","url"
"avibase-2D806122","DISTRIB","ANNUAL","Species distribution","Geographical range","Extreme sw Australia (south of the Murchison River)","","","","","Clements 2021","https://www.birds.cornell.edu/clementschecklist/download/"
"avibase-2D806122","DISTRIB","BREEDING_MAX_LAT","Species distribution","Maximum latitude of breeding range","-33.53","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2D806122","DISTRIB","BREEDING_MIN_LAT","Species distribution","Minimum latitude of breeding range","-34.85","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2D806122","DISTRIB","CENTROID_LAT","Species distribution","Centroid latitude","-34.17","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2D806122","DISTRIB","CENTROID_LON","Species distribution","Centroid longitude","116.7","degrees","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2D806122","DISTRIB","MIGRATION","Species distribution","Migration strategy","Sedentary","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2D806122","DISTRIB","RANGE_SIZE","Species distribution","Total range size","5966.31","km2","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2D806122","DISTRIB","REALM","Species distribution","Realm","Australian","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-2D806122","RANGE","RESTRICTED","Range and population size","Has restricted range?","Y","","","","-1","Birdlife's Worldbird Database",""
"avibase-2D806122","HABITAT","DENSITY","Habitat","Habitat density (1-3)","Dense habitats","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2D806122","HABITAT","DESCR","Habitat","Habitat description","Forest","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2D806122","HABITAT","DESCR","Habitat","Habitat description","moist heavily forested areas dominated by Marri Eucalyptus calophylla, Karri E.diversicolor, and Jarrah E.marginata;also orchards & Wandoo woodland","","","","","Sibley 1996",""
"avibase-2D806122","FOOD","FORAGINGNICHE","Food and feeding habits","Foraging niche","Granivore arboreal","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-2D806122","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-2D806122","FOOD","TROPHICLEVEL","Food and feeding habits","Trophic level","Herbivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2D806122","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Granivore","","","","","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2D806122","FOOD","TROPHICNICHE","Food and feeding habits","Trophic niche","Granivore","","","","-1","Pigot et al. 2020","https://doi.org/10.1038/s41559-019-1070-4"
"avibase-2D806122","BODY","BILL_DEPTH_F","Body measurements","Bill depth (females)","5.3","cm","5.3","5.3","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2D806122","BODY","BILL_DEPTH_M","Body measurements","Bill depth (males)","4.78667","cm","4.66","4.97","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2D806122","BODY","BILL_DEPTH_U","Body measurements","Bill depth (sex unknown)","4.915","cm","4.66","5.3","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2D806122","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","5.82","cm","5.82","5.82","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2D806122","BODY","BILL_F","Body measurements","Bill length (females) - Culmen","5.36","cm","","","12","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-2D806122","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","5.42","cm","","","18","Lisleland et al. 2007","https://esajournals.onlinelibrary.wiley.com/doi/epdf/10.1890/06-2054"
"avibase-2D806122","BODY","BILL_M","Body measurements","Bill length (males) - Culmen","5.41333","cm","5.16","5.54","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2D806122","BODY","BILL_NARES_F","Body measurements","Bill length (females) - Nares to tip","4.91","cm","4.91","4.91","1","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2D806122","BODY","BILL_NARES_M","Body measurements","Bill length (males) - Nares to tip","4.57","cm","4.35","4.72","3","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2D806122","BODY","BILL_NARES_U","Body measurements","Bill length (sex unknown) - Nares to tip","4.655","cm","4.35","4.91","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
"avibase-2D806122","BODY","BILL_U","Body measurements","Bill length (sex unknown) - Culmen","5.515","cm","5.16","5.82","4","Tobias et al. 2021","https://onlinelibrary.wiley.com/doi/full/10.1111/ele.13898"
