,Common Name,Kingdom,Phylum,Class,Order,Family,Genus,SPECIES,Continents,Countries,Biome,Lifestyle,Seasonal behavior,Ref,Animalia_Link,Regions,Subcontinents,Group name,Islands,Introduced Countries,Subclass,Infraclass,Superorder,Suborder,Subfamily,Oceans,Seas,Tribe,SUBSPECIES OF
0,laced-woodpecker,Animalia,Chordata,Aves,Piciformes,Picidae,Picus,Picus vittatus,Asia,"China,","Anthropogenic biome,Forest,Shrubland,Mangrove,Mountains","Terrestrial, ,Oviparous, ,Altricial",Not a migrant,"https://en.wikipedia.org/wiki/Laced_woodpecker,https://www.iucnredlist.org/species/22681450/92907392,https://xeno-canto.org/314543",https://animalia.bio/laced-woodpecker/,,,,,,,,,,,,,,
0,lacrimose-mountain-tanager,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Anisognathus,Anisognathus lacrymosus,South America,"Ecuador,","Forest,Mountains","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Lacrimose_mountain_tanager,https://www.iucnredlist.org/species/22722630/132016782,https://xeno-canto.org/641727",https://animalia.bio/lacrimose-mountain-tanager/,,,,,,,,,,,,,,
0,ladderbacked-woodpecker,,,,,,,,,,,,,,https://animalia.bio/ladderbacked-woodpecker/,,,,,,,,,,,,,,
0,laddertailed-nightjar,,,,,,,,,,,,,,https://animalia.bio/laddertailed-nightjar/,,,,,,,,,,,,,,
0,lady-amhersts-pheasant,Animalia,Chordata,Aves,Galliformes,Phasianidae,Chrysolophus,Chrysolophus amherstiae,Asia,"China,","Forest,Shrubland,Agricultural,Anthropogenic biome","Terrestrial, ,Oviparous, ,Precocial",Not a migrant,"https://en.wikipedia.org/wiki/Lady_Amherst's_pheasant,https://www.iucnredlist.org/species/22679358/131905673,https://xeno-canto.org/473878",https://animalia.bio/lady-amhersts-pheasant/,,,,,,,,,,,,,,
0,lafresnayes-piculet,Animalia,Chordata,Aves,Piciformes,Picidae,Picumnus,Picumnus lafresnayi,South America,"Ecuador,",Forest,,,"https://en.wikipedia.org/wiki/Lafresnaye's_piculet,https://www.iucnredlist.org/species/22680706/92873670,https://xeno-canto.org/627394",https://animalia.bio/lafresnayes-piculet/,,,,,,,,,,,,,,
0,lafresnayes-vanga,Animalia,Chordata,Aves,Passeriformes,Vangidae,Xenopirostris,Xenopirostris xenopirostris,Africa,Madagascar,"Forest,Shrubland",,,"https://en.wikipedia.org/wiki/Lafresnaye's_vanga,https://www.iucnredlist.org/species/22708024/94146312,https://xeno-canto.org/573572",https://animalia.bio/lafresnayes-vanga/,,,,,,,,,,,,,,
0,lagdens-bushshrike,Animalia,Chordata,Aves,Passeriformes,Malaconotidae,Malaconotus,Malaconotus lagdeni,Africa,"DR Congo,","Anthropogenic biome,Forest,Mountains,Montane forest","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Lagden's_bushshrike,https://www.iucnredlist.org/species/22707722/94134982,https://xeno-canto.org/651044",https://animalia.bio/lagdens-bushshrike/,,,,,,,,,,,,,,
0,laggar-falcon,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco jugger,Asia,"India,","Anthropogenic biome,Grassland,Savanna,Shrubland","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Laggar_falcon,https://www.iucnredlist.org/species/22696492/181452933,https://xeno-canto.org/457546",https://animalia.bio/laggar-falcon/,,,,,,,,,,,,,,
0,lake-duck,Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,Oxyura vittata,South America,"Chile,","Freshwater,Wetlands,Shrubland",,,"https://en.wikipedia.org/wiki/Lake_duck,https://www.iucnredlist.org/species/22679824/92830830,https://xeno-canto.org/44471",https://animalia.bio/lake-duck/,,,,,,,,,,,,,,
